0.133333,4814,4086,1209
0.000000,4890,4076,1227
0.016667,4889,4072,1233
0.033333,4886,4071,1230
0.050000,4886,4070,1230
0.066667,4889,4067,1233
0.100000,4890,4066,1230
0.116667,4890,4065,1236
0.133333,4889,4064,1233
0.150000,4887,4061,1236
0.166667,4886,4061,1236
0.183333,4886,4060,1236
0.200000,4887,4060,1239
0.216667,4890,4059,1233
0.233333,4890,4058,1236
0.250000,4890,4058,1239
0.266667,4890,4056,1233
0.283333,4889,4056,1236
0.300000,4887,4055,1239
0.316667,4887,4054,1236
0.333333,4887,4053,1236
0.350000,4886,4052,1239
0.366667,4887,4052,1236
0.383333,4887,4050,1236
0.400000,4887,4050,1239
0.416667,4889,4049,1236
0.433333,4890,4049,1242
0.450000,4890,4048,1239
0.466667,4890,4048,1239
0.483333,4889,4048,1233
0.500000,4890,4047,1239
0.516667,4889,4047,1239
0.533333,4889,4045,1239
0.550000,4887,4045,1242
0.566667,4887,4044,1239
0.583333,4886,4044,1239
0.600000,4887,4044,1242
0.616667,4885,4043,1239
0.633333,4886,4042,1239
0.650000,4886,4042,1242
0.666667,4886,4042,1242
0.683333,4887,4041,1239
0.700000,4889,4041,1239
0.716667,4890,4041,1242
0.733333,4892,4039,1242
0.750000,4890,4039,1242
0.766667,4890,4039,1239
0.783333,4890,4038,1239
0.800000,4890,4038,1245
0.816667,4889,4037,1245
0.833333,4889,4037,1242
0.850000,4889,4037,1245
0.866667,4887,4037,1245
0.883333,4887,4036,1248
0.900000,4887,4036,1242
0.916667,4887,4036,1245
0.933333,4886,4036,1239
0.950000,4886,4034,1242
0.966667,4886,4034,1245
0.983333,4886,4034,1242
1.000000,4886,4033,1239
1.016667,4886,4033,1242
1.033333,4886,4032,1242
1.050000,4887,4032,1239
1.066667,4887,4032,1245
1.083333,4887,4032,1245
1.100000,4889,4031,1245
1.116667,4890,4031,1245
1.133333,4889,4031,1245
1.150000,4889,4031,1245
1.166667,4892,4031,1245
